id,ORIG_FID,fclass,name,Shape_Length,longitude,latitude
9905,5718,tertiary,Spolegatan,162.4241862,13.18755952,55.71033888
9906,5719,cycleway, ,130.458656,13.23105361,55.70030203
9907,5719,cycleway, ,130.458656,13.23160298,55.69998108
9908,5720,cycleway, ,317.4708862,13.2352824,55.69552679
9909,5720,cycleway, ,317.4708862,13.23596276,55.69529422
9910,5720,cycleway, ,317.4708862,13.23665911,55.69507857
9911,5720,cycleway, ,317.4708862,13.23735253,55.69485858
9912,5720,cycleway, ,317.4708862,13.23804645,55.69463911
9913,5720,cycleway, ,317.4708862,13.23874042,55.69441967
9914,5722,cycleway, ,53.83286947,13.23292615,55.69916759
9915,5724,cycleway, ,75.92747182,13.23282738,55.69953225
9916,5725,residential, ,132.647774,13.20542627,55.69981035
9917,5725,residential, ,132.647774,13.20522737,55.70009921
9918,5726,residential, ,61.04177072,13.2030235,55.69936843
9919,5727,secondary,Tunavägen,419.0081684,13.21773204,55.70951736
9920,5727,secondary,Tunavägen,419.0081684,13.21695367,55.70942432
9921,5727,secondary,Tunavägen,419.0081684,13.2161753,55.70933132
9922,5727,secondary,Tunavägen,419.0081684,13.2153969,55.70923842
9923,5727,secondary,Tunavägen,419.0081684,13.21461896,55.70914428
9924,5727,secondary,Tunavägen,419.0081684,13.21384057,55.70905134
9925,5727,secondary,Tunavägen,419.0081684,13.21306183,55.70895935
9926,5727,secondary,Tunavägen,419.0081684,13.21228423,55.70886468
9927,5729,cycleway, ,341.9326141,13.22933479,55.71620577
9928,5729,cycleway, ,341.9326141,13.22922661,55.71663034
9929,5729,cycleway, ,341.9326141,13.22922229,55.71707951
9930,5729,cycleway, ,341.9326141,13.22921824,55.71752871
9931,5729,cycleway, ,341.9326141,13.22923518,55.71797759
9932,5729,cycleway, ,341.9326141,13.22945873,55.71840628
9933,5739,service, ,120.4791486,13.20791284,55.71559669
9934,5739,service, ,120.4791486,13.20814689,55.71526738
9935,5740,path, ,79.6668251,13.20224746,55.71092474
9936,5741,service, ,66.68459288,13.20201018,55.71249237
9937,5744,service, ,59.85363422,13.20171346,55.71188707
9938,5748,service, ,127.6395508,13.20138362,55.71097162
9939,5748,service, ,127.6395508,13.20201202,55.7106961
9940,5751,tertiary,Linerovägen,298.4420602,13.2445503,55.70076844
9941,5751,tertiary,Linerovägen,298.4420602,13.24378429,55.70064738
9942,5751,tertiary,Linerovägen,298.4420602,13.24303189,55.70050258
9943,5751,tertiary,Linerovägen,298.4420602,13.242316,55.70030758
9944,5751,tertiary,Linerovägen,298.4420602,13.24160977,55.70010089
9945,5752,tertiary,Linerovägen,228.7680306,13.2401838,55.69973888
9946,5752,tertiary,Linerovägen,228.7680306,13.23942313,55.69960822
9947,5752,tertiary,Linerovägen,228.7680306,13.23864768,55.69950901
9948,5752,tertiary,Linerovägen,228.7680306,13.23786047,55.69944496
9949,5753,residential,Melins väg,66.56808597,13.23675992,55.70153581
9950,5754,cycleway, ,539.3680558,13.21269417,55.71555808
9951,5754,cycleway, ,539.3680558,13.21190879,55.71549192
9952,5754,cycleway, ,539.3680558,13.21119393,55.71530341
9953,5754,cycleway, ,539.3680558,13.21061214,55.7149996
9954,5754,cycleway, ,539.3680558,13.21011,55.71465369
9955,5754,cycleway, ,539.3680558,13.20972538,55.71426059
9956,5754,cycleway, ,539.3680558,13.20941311,55.71384743
9957,5754,cycleway, ,539.3680558,13.20910838,55.71343248
9958,5754,cycleway, ,539.3680558,13.20882074,55.71301368
9959,5754,cycleway, ,539.3680558,13.20846313,55.71262043
9960,5755,cycleway, ,50.92451598,13.21655453,55.71574957
9961,5762,path, ,65.24779306,13.23789642,55.71854777
9962,5763,path, ,243.2185262,13.24064071,55.71828532
9963,5763,path, ,243.2185262,13.24015234,55.71853703
9964,5763,path, ,243.2185262,13.23936007,55.71857924
9965,5763,path, ,243.2185262,13.23859368,55.71869045
9966,5765,service, ,166.7150149,13.21208804,55.69910857
9967,5765,service, ,166.7150149,13.21285575,55.69899107
9968,5765,service, ,166.7150149,13.21362346,55.69887357
9969,5766,service, ,81.4005566,13.21889228,55.68937417
9970,5767,service, ,178.513323,13.16073875,55.71639589
9971,5767,service, ,178.513323,13.16101379,55.71611455
9972,5767,service, ,178.513323,13.16155633,55.71641574
9973,5770,service, ,64.66686865,13.16145237,55.71653858
9974,5772,service, ,55.00034451,13.16137706,55.71636372
9975,5774,service, ,67.99996663,13.1615188,55.71666665
9976,5775,service, ,74.23406203,13.19580654,55.70970383
9977,5777,tertiary,Telefongatan,280.6566547,13.22910442,55.7166433
9978,5777,tertiary,Telefongatan,280.6566547,13.2291006,55.71709247
9979,5777,tertiary,Telefongatan,280.6566547,13.22910574,55.71754166
9980,5777,tertiary,Telefongatan,280.6566547,13.22910025,55.71799084
9981,5777,tertiary,Telefongatan,280.6566547,13.22910792,55.71843973
9982,5781,service, ,154.8601923,13.15280697,55.71349627
9983,5781,service, ,154.8601923,13.15360199,55.71347795
9984,5781,service, ,154.8601923,13.15424811,55.71355757
9985,5782,service, ,66.24112382,13.15072432,55.7143964
9986,5784,service, ,184.9284347,13.1503839,55.71403043
9987,5784,service, ,184.9284347,13.1504781,55.71447647
9988,5784,service, ,184.9284347,13.15113742,55.71451303
9989,5786,service, ,56.24772727,13.15119755,55.71445215
9990,5788,service, ,64.69395127,13.15088805,55.71407812
9991,5789,service, ,53.18627733,13.1513521,55.71404567
9992,5791,service, ,52.82797711,13.224343,55.71464249
9993,5792,service, ,92.56951646,13.22486699,55.71502722
9994,5793,service, ,76.39488186,13.22513553,55.71488312
9995,5794,service, ,114.0200494,13.21633534,55.68870275
9996,5794,service, ,114.0200494,13.21560515,55.68888063
9997,5795,service, ,75.39192921,13.21729826,55.68823454
9998,5796,service, ,71.97170245,13.21652021,55.68825049
9999,5798,service, ,162.9433382,13.21515829,55.68807928
10000,5798,service, ,162.9433382,13.21515539,55.68842824
10001,5798,service, ,162.9433382,13.21536897,55.68886075
10002,5799,cycleway, ,135.6704967,13.23558096,55.69049398
10003,5799,cycleway, ,135.6704967,13.23581022,55.6909241
10004,5809,cycleway, ,317.3115031,13.23391082,55.68884493
10005,5809,cycleway, ,317.3115031,13.23314912,55.68872407
10006,5809,cycleway, ,317.3115031,13.23237038,55.68878356
10007,5809,cycleway, ,317.3115031,13.23162951,55.68894594
10008,5809,cycleway, ,317.3115031,13.23094948,55.68917761
10009,5809,cycleway, ,317.3115031,13.23024524,55.68938163
10010,5812,service, ,67.67165623,13.24028527,55.69454126
10011,5813,cycleway, ,75.80934076,13.24001778,55.69451066
10012,5814,cycleway, ,211.6447,13.22944739,55.6915354
10013,5814,cycleway, ,211.6447,13.22921964,55.69110502
10014,5814,cycleway, ,211.6447,13.22898885,55.69067515
10015,5814,cycleway, ,211.6447,13.22875847,55.69024521
10016,5820,service, ,222.2846302,13.21441239,55.7203642
10017,5820,service, ,222.2846302,13.21392025,55.72017293
10018,5820,service, ,222.2846302,13.214306,55.71994725
10019,5820,service, ,222.2846302,13.21472268,55.720164
10020,5821,service, ,50.29417041,13.21471902,55.72025372
10021,5822,service, ,50.51678668,13.21471378,55.72010375
10022,5825,cycleway, ,180.2922162,13.23206012,55.71620535
10023,5825,cycleway, ,180.2922162,13.23280649,55.71630985
10024,5825,cycleway, ,180.2922162,13.23353413,55.71649168
10025,5826,path, ,183.4011834,13.23145862,55.71602115
10026,5826,path, ,183.4011834,13.23069941,55.71588659
10027,5826,path, ,183.4011834,13.22994623,55.71574203
10028,5832,path, ,422.7915546,13.16891993,55.69882746
10029,5832,path, ,422.7915546,13.1683214,55.69912098
10030,5832,path, ,422.7915546,13.16752971,55.69915731
10031,5832,path, ,422.7915546,13.16673643,55.69919004
10032,5832,path, ,422.7915546,13.1659427,55.69921916
10033,5832,path, ,422.7915546,13.1651487,55.69924568
10034,5832,path, ,422.7915546,13.16435522,55.69927695
10035,5832,path, ,422.7915546,13.16373724,55.69943454
10036,5833,service, ,90.37152798,13.16358739,55.69942558
10037,5835,path, ,73.82080469,13.22672304,55.72831964
10038,5836,path, ,109.8014676,13.2252411,55.72829543
10039,5836,path, ,109.8014676,13.22483109,55.72791532
10040,5838,path, ,202.2712523,13.19083341,55.72347418
10041,5838,path, ,202.2712523,13.19150972,55.72325889
10042,5838,path, ,202.2712523,13.19182393,55.723411
10043,5838,path, ,202.2712523,13.19150122,55.7237946
