OBJECTID,point_id,longitude,latitude,fclass,name,depression_score,aesthetic_score,safety_score,vitality_score,start_count,end_count,road_length,ghs_population,log_start,log_end,start_end_count,log_total_count,poi_catering_density,poi_health_density,poi_leisure_density,poi_public_facility_density,poi_shopping_density,poi_tourism_density,poi_transit_density,boringness_score,wealth_score,poi_transit_dist,poi_transit_dist_500,poi_catering_dist,poi_shopping_dist,poi_health_dist,poi_leisure_dist,poi_public_facility_dist,poi_tourism_dist
3427,3844,13.18699829,55.69360363,residential,Bohusvägen,0.568957113,0.687741593,0.380020336,0.252798319,101,15,276.3064175,72.74032593,4.624972813,2.772588722,116,4.762173935,0,0,0,0,0,0,0,0.273980333,0.472069884,121.8052733,121.8052733,359.606973,300.0928219,519.190276,276.1700415,73.70152443,455.5167042
3428,3845,13.18501238,55.6913177,cycleway,,0.464143775,0.394776418,0.565341456,0.406908602,58,123,490.676099,91.69289398,4.077537444,4.820281566,181,5.204006687,0,0,0,0,0,0,0,0.326991279,0.552408755,74.48297483,74.48297483,401.1133927,413.2582073,436.6726013,186.4384495,219.7748573,385.374381
3429,3846,13.18461553,55.69170696,cycleway,,0.578966212,0.493453,0.795938402,0.580977704,45,109,431.3220332,91.69289398,3.828641396,4.700480366,154,5.043425117,0,0,0,0,0,0,0,0.469717663,0.777288914,122.3139707,122.3139707,398.7686493,372.0103532,395.9897477,138.0177648,203.413929,416.6933266
3430,3847,13.18424013,55.69210288,cycleway,,0.502717126,0.50187175,0.675523885,0.391372062,28,52,425.4773767,91.69289398,3.36729583,3.970291914,80,4.394449155,0,0,0,0,0,0,0,0.340475751,0.674309008,171.6125774,171.6125774,360.9743879,334.2157904,358.7405892,92.02572268,197.089154,452.4333017
3431,3848,13.18391858,55.69251339,cycleway,,0.469775479,0.423107568,0.437459176,0.404698344,31,32,365.9528644,95.7464447,3.465735903,3.496507561,63,4.158883083,0,0,0,0,0,0,0,0.3340808,0.601111963,204.3741478,204.3741478,329.4446978,303.0105585,327.9445309,56.93524357,199.5698135,492.8674431
3432,3849,13.18361534,55.69292864,cycleway,,0.505870122,0.459136873,0.634845957,0.404644882,35,94,470.9000079,95.16896057,3.583518938,4.553876892,129,4.86753445,0,0,0,0,0,0,0,0.347751392,0.663279086,155.3145905,155.3145905,304.0259072,278.4774256,303.4365751,56.00561621,212.8661221,535.5868314
3433,3850,13.18333933,55.69334982,cycleway,,0.39982719,0.540464338,0.526750203,0.315481119,57,33,455.6233125,95.16896057,4.060443011,3.526360525,90,4.510859507,0,0,0,0,0,0,0,0.360119572,0.481754413,106.5934022,106.5934022,286.9459505,263.0952573,287.4307819,90.63258838,234.6567695,580.2817206
3434,3851,13.18311399,55.69378046,cycleway,,0.579881635,0.581695631,0.490248367,0.188937384,40,118,490.4386746,51.8094101,3.713572067,4.779123493,158,5.068904202,0,0,0,0,0,0,0,0.323935445,0.414203304,58.56972901,58.56972901,281.2745695,260.0391215,282.9193715,136.3992355,261.6138805,598.5171672
3435,3852,13.18291139,55.69421484,cycleway,,0.433971394,0.543098027,0.502878634,0.295668384,47,103,528.085451,51.8094101,3.871201011,4.644390899,150,5.017279837,0,0,0,0,0,0,2,0.318921577,0.416886788,20.80237088,20.80237088,285.8826147,267.9440627,288.6372545,184.7288007,278.451359,551.9160279
3436,3853,13.17163481,55.69284221,path,,0.565841893,0.684637297,0.719118305,0.558843289,33,2,150.8884573,6.21817255,3.526360525,1.098612289,35,3.583518938,0,0,0,0,0,0,1,0.491455428,0.684027646,49.31413185,49.31413185,451.1217573,434.8797716,450.8757232,647.2225574,434.3904189,395.8568599
3437,3855,13.16026324,55.69898026,path,,0.125936046,0.098929331,0.035559278,0.035230026,31,0,321.5803627,0,3.465735903,0,31,3.465735903,0,0,0,0,0,0,0,0.068062954,0.126462147,549.8801866,500,514.2165417,481.4966629,1338.14954,552.7170855,329.1603023,559.6553932
3438,3859,13.21577877,55.71223859,service,,0.247163577,0.341095331,0.351814994,0.310848286,122,76,318.4482044,22.77716064,4.812184355,4.343805422,198,5.293304825,0,0,0,0,0,0,0,0.278400098,0.394022759,119.6212064,119.6212064,162.7350919,269.7209441,227.2488664,263.0966982,59.25556961,94.35671045
3439,3860,13.21574141,55.71268704,service,,0.160202102,0.173492953,0.176265562,0.255511397,69,91,372.8486675,22.77716064,4.248495242,4.521788577,160,5.081404365,0,0,0,1,0,0,0,0.228031554,0.256745653,79.83514652,79.83514652,122.0212822,224.2303453,251.2074873,312.376009,28.77926787,127.7168568
3440,3861,13.21601665,55.71253918,service,,0.298203816,0.372479984,0.302664021,0.227886815,93,88,416.9484456,22.77716064,4.543294782,4.48863637,181,5.204006687,0,0,0,1,0,0,0,0.271278867,0.432032075,103.6797285,103.6797285,145.8846577,243.6204238,227.9557209,293.1317008,49.09537616,126.9666507
3441,3862,13.21600931,55.71298836,service,,0.228774095,0.340676546,0.206009531,0.188632706,47,71,587.0081041,22.77716064,3.871201011,4.276666119,118,4.779123493,0,0,0,0,0,0,0,0.196905077,0.297442002,79.81712036,79.81712036,115.466592,194.9613663,256.8501002,342.6899509,56.31451012,164.8244247
3442,3863,13.21535038,55.71301955,service,,0.420763364,0.521543201,0.469844086,0.327852447,44,156,427.9020039,22.77716064,3.80666249,5.056245805,200,5.303304908,0,0,0,1,0,0,1,0.304531949,0.525218178,39.16102864,39.16102864,78.84074982,184.7629703,291.9812019,353.9245355,36.74497442,148.890668
3443,3864,13.21493622,55.71058329,cycleway,,0.235971674,0.202626315,0.23925481,0.249962989,242,365,535.8849523,32.65076065,5.493061443,5.902633333,607,6.410174882,0,0,0,0,0,0,0,0.26559496,0.297867156,152.6892486,152.6892486,86.7284705,93.32006077,162.7311301,133.6545936,86.12507121,110.3123298
3444,3865,13.21572038,55.7106263,cycleway,,0.379257973,0.515365228,0.331862079,0.286072825,153,831,271.0134319,27.95825958,5.036952602,6.723832441,984,6.892641641,0,0,0,1,0,0,0,0.321850879,0.381503964,151.523562,151.523562,128.2491938,90.22823811,122.1632523,99.52799141,37.53423495,98.41211237
3445,3866,13.21650133,55.71071201,cycleway,,0.438081229,0.557351395,0.308529338,0.352807905,172,493,159.6960922,27.95825958,5.153291594,6.202535517,665,6.501289671,0,0,0,1,0,0,0,0.456813306,0.415658796,146.6894278,146.6894278,166.408972,111.3739425,95.04552069,87.48981983,20.87303774,114.397616
3446,3867,13.21727979,55.71080486,cycleway,,0.457943171,0.602192368,0.420720512,0.388561548,170,277,222.6325903,30.57012367,5.141663557,5.627621114,447,6.104793232,0,0,0,0,0,0,0,0.541284617,0.574901659,159.1003608,159.1003608,116.4097851,147.6819274,91.03355661,102.6862866,66.97127738,147.1288983
3447,3868,13.21805835,55.71089745,cycleway,,0.441734474,0.304099288,0.468773562,0.578822162,106,276,428.1248217,30.57012367,4.672828834,5.624017506,382,5.948034989,0,0,0,0,0,0,0,0.509947471,0.503912911,184.6607581,184.6607581,66.4126411,125.3926118,98.28684804,135.7550271,116.3350155,143.1671807
